'Crux.AxisoTheorem.diag_T' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.step4_top_coeff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.classP_eq_zeta' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.zetaLogCoeff_apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.zetaLogCoeff_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.zeta_isDirExp' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.classP_hypotheses_satisfiable' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.a2_apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.a2_periodic' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.a2_topcoeff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.a2_logcoeff_four' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.four_cpow' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.nc_twoPow_mul' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.ncLambda_one_sub' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.ncLambda_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.ncZero_re' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.two_cpow_neg_ncZero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.ncP_ncZero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.nc_F_vanishes' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.a9_apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.a9_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.a9_logcoeff_four' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.a5_apply' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.A5_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.A5_two' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.A5_three' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.A5_four' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.a5_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.a5_periodic' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.a5_logcoeff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.dlvp_step' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.dlvp_opt' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.dlvp_opt_attained' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.dlvp_region' depends on axioms: [propext, Classical.choice, Quot.sound]
'Crux.AxisoTheorem.trig_341' depends on axioms: [propext, Classical.choice, Quot.sound]
